2016-02-25 11:12:24,345 [Worker-61] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ServletJSPExample:ServletJSPExample:0.0.1-SNAPSHOT @ C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\pom.xml.
2016-02-25 11:12:29,631 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:12:29,639 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\main\resources
2016-02-25 11:12:29,643 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:12:29,650 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\test\resources
2016-02-25 11:12:29,738 [Worker-61] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ServletJSPExample/src
2016-02-25 11:12:29,740 [Worker-61] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ServletJSPExample/src/test/java because it overlaps with /ServletJSPExample/src
2016-02-25 11:12:31,184 [Worker-61] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-02-25 11:12:32,055 [Worker-61] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ServletJSPExample:ServletJSPExample:0.0.1-SNAPSHOT @ C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\pom.xml.
2016-02-25 11:12:33,800 [Worker-61] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ServletJSPExample/src
2016-02-25 11:12:33,801 [Worker-61] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ServletJSPExample/src/test/java because it overlaps with /ServletJSPExample/src
2016-02-25 11:12:34,084 [Worker-61] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ServletJSPExample
2016-02-25 11:12:34,130 [Worker-61] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2016-02-25 11:12:34,472 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:12:34,511 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\main\resources
2016-02-25 11:12:34,514 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:12:34,562 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\test\resources
2016-02-25 11:12:34,562 [Worker-64] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ServletJSPExample
2016-02-25 11:12:34,563 [Worker-64] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ServletJSPExample
2016-02-25 11:12:34,663 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:36:46,570 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:36:46,601 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\main\resources
2016-02-25 11:36:46,602 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:36:46,608 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\test\resources
2016-02-25 11:47:26,496 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:47:26,504 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\main\resources
2016-02-25 11:47:26,509 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:47:26,513 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\test\resources
2016-02-25 11:52:39,909 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:52:39,917 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\main\resources
2016-02-25 11:52:39,918 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-25 11:52:39,927 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\src\test\resources
2016-02-25 11:55:01,448 [Worker-79] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ServletJSPExample:ServletJSPExample:0.0.1-SNAPSHOT @ C:\Users\villaman\workspace\Syntelers\Advancep\ServletJSPExample\pom.xml.
2016-02-25 11:55:02,173 [Worker-79] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-content/4.1.1.RELEASE/spring-content-4.1.1.RELEASE.pom
2016-02-25 11:55:02,187 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-content:jar:4.1.1.RELEASE is missing, no dependency information available
2016-02-25 11:55:02,346 [Worker-79] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-aop/4.1.1.RELEASE/spring-aop-4.1.1.RELEASE.pom
2016-02-25 11:55:02,409 [Worker-79] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-aop/4.1.1.RELEASE/spring-aop-4.1.1.RELEASE.pom
2016-02-25 11:55:02,472 [Worker-79] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-beans/4.1.1.RELEASE/spring-beans-4.1.1.RELEASE.pom
2016-02-25 11:55:02,517 [Worker-79] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-beans/4.1.1.RELEASE/spring-beans-4.1.1.RELEASE.pom
2016-02-25 11:55:02,558 [Worker-79] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-core/4.1.1.RELEASE/spring-core-4.1.1.RELEASE.pom
2016-02-25 11:55:02,601 [Worker-79] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-core/4.1.1.RELEASE/spring-core-4.1.1.RELEASE.pom
2016-02-25 11:55:02,804 [Worker-79] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframeword/spring-webmvc/4.1.1.RELEASE/spring-webmvc-4.1.1.RELEASE.pom
2016-02-25 11:55:02,808 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframeword:spring-webmvc:jar:4.1.1.RELEASE is missing, no dependency information available
2016-02-25 11:55:03,149 [Worker-79] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-content/4.1.1.RELEASE/spring-content-4.1.1.RELEASE.jar
